scriptid,category,populated,disposition,new_label,xo_source,live_references,searches,forms,pdf_templates,pipeline_refs(retire together),notes
custitem_la_drop_ship,retire_resolved,498489,RETIRE (resolved),,,,0,3,0,2,redundant with native isdropshipitem
custitem_la_effective_date,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_energy_efficient,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_energy_star,la_field,9177,RETIRE,,,,0,3,0,2,
custitem_la_extension,la_field,195678,RETIRE,,,,0,3,0,4,
custitem_la_fan_airflow,la_field,11681,RETIRE,,,,1,3,0,2,
custitem_la_fan_control,la_field,10631,RETIRE,,,,0,3,0,2,
custitem_la_fan_downrod,la_field,8971,RETIRE,,,,0,3,0,2,
custitem_la_fan_electricity_use,la_field,8861,RETIRE,,,,0,3,0,2,
custitem_la_fan_mounting_system,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_fan_speeds,la_field,8020,RETIRE,,,,0,3,0,2,
custitem_la_finish,keep20,328451,RELABEL,Finish,"Extra-Finish  [backfill from la_manufacturer_finish first: 204,504 rows]",,4,3,0,1,
custitem_la_gas,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_has_imap,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_height,keep20,624956,RELABEL,Height,Height,,0,3,0,4,
custitem_la_image,keep20,532301,RELABEL,Primary Image,Image Path,Add Items To Order SL [INACTIVE] | Generate Master Consolidated POs [ACTIVE] | Inbound Shipment | Add Items [ACTIVE] | Unified Catalog Analysis MR [ACTIVE] | object:custcol_pr_prod_url.xml,3,3,0,4,SOURCED BY custcol_pr_prod_url (frProduct URL)
custitem_la_imap_multiplier,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_inactivedate,la_gen2,0,RETIRE,,,,0,3,0,1,
custitem_la_instructions,la_field,207636,RETIRE,,,,0,3,0,2,
custitem_la_intro_date,la_field,189255,RETIRE,,,,0,3,0,2,
custitem_la_la_category,la_field,85,RETIRE,,,,0,3,0,0,
custitem_la_la_finish,la_field,732,RETIRE,,,,0,3,0,0,
custitem_la_la_glass,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_la_height_range,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_la_mfg_id,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_la_mount,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_la_style_1,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_la_type,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_la_voltage_range,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_la_width_range,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_led,la_field,623,RETIRE,,,,0,3,0,0,
custitem_la_length,keep20,310721,RELABEL,Length,Length,,0,3,0,4,
custitem_la_light_kit,la_field,6879,RETIRE,,,,0,3,0,2,
custitem_la_light_output,keep20,211307,RELABEL,Lumens,Extra-Initial Lumens,,0,3,0,2,
custitem_la_light_source,la_field,383890,RETIRE,,,,0,3,0,2,
custitem_la_list_price,retire_resolved,272591,RETIRE (resolved),,,Item Record Quick Report [ACTIVE] | Unified Catalog Analysis MR [ACTIVE],4,3,0,2,"pricing native: MSRP price level 1 (676,596) is the record"
custitem_la_manufacturer_category,la_field,5517,RETIRE,,,,0,3,0,0,
custitem_la_manufacturer_finish,retire_resolved,323188,RETIRE (resolved),,,Item Record Quick Report [ACTIVE] | Unified Catalog Analysis MR [ACTIVE],2,3,0,1,"superseded by gen-2 la_finish; BACKFILL 204,504 rows into la_finish first"
custitem_la_manufacturer_glass,la_field,414585,RETIRE,,,Item Record Quick Report [ACTIVE] | Unified Catalog Analysis MR [ACTIVE],0,3,0,2,
custitem_la_manufacturer_name,retire_resolved,609162,RETIRE (resolved),,,Item Record Quick Report [ACTIVE] | Unified Catalog Analysis MR [ACTIVE],4,3,0,4,vendor table + Preferred Vendor carry this; REMAP FARAPP FIRST; FARAPP connector mapping - remap by hand BEFORE retirement
custitem_la_manufacturer_number,la_field,244,RETIRE,,,Item Record Quick Report [ACTIVE],2,3,0,3,
custitem_la_manufacturer_stock,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_manufacturer_warranty,la_field,290110,RETIRE,,,,0,3,0,2,
custitem_la_master_pack_barcode,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_material,keep20,397767,RELABEL,Material,Extra-Material,,0,3,0,2,
custitem_la_max_wattage,la_field,543145,RELABEL,Wattage,"Extra-Bulb Wattage (strip units)  [kept per 2026-08-25 decision - 21st survivor, 543,145 rows]",Item Record Quick Report [ACTIVE] | Unified Catalog Analysis MR [ACTIVE],0,3,0,4,
custitem_la_motor_housing,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_motor_mounting,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_motor_size,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_mounting_height,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_multiplier,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_multiplier_price,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_notes,la_field,118306,RETIRE,,,,0,3,0,2,
custitem_la_number_of_arms,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_number_of_bulbs,keep20,481854,RELABEL,Number of Bulbs,Extra-Number of Bulbs (coalesce Of-variant),,0,3,0,4,
custitem_la_order_minimum,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_parts_diagram,la_field,77685,RETIRE,,,,0,3,0,2,
custitem_la_price,retire_resolved,328680,RETIRE (resolved),,,,0,3,0,2,pricing native: duplicate of MSRP price level
custitem_la_price_before_sale,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_price_changed_date,retire_resolved,409793,RETIRE (resolved),,,,0,3,0,1,system notes carry price history; XO supplies change dates
custitem_la_price_no_sale,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_price_range,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_product_name,keep20,604365,RELABEL,Product Name,Item Name,,3,3,0,2,
custitem_la_product_url,keep20,519337,RELABEL,Item URL,Item URL (prepend XO domain),Unified Catalog Analysis MR [ACTIVE] | object:custcol_webstore_link.xml,4,3,0,2,SOURCED BY custcol_webstore_link (Webstore Link)
custitem_la_rated_average_life,la_field,146489,RETIRE,,,,0,3,0,2,
custitem_la_reverse_air,la_field,6163,RETIRE,,,,0,3,0,2,
custitem_la_rooms,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_room_1,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_room_2,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_safety_listing,keep20,462421,RELABEL,Safety Rating,Extra-Safety Rating  [semantics: holds ETL/UL],,0,3,0,2,
custitem_la_safety_rating,keep20,457590,RELABEL,Location Rating,Extra-Location Rating  [semantics: holds Damp/Wet],,0,3,0,2,
custitem_la_shipped_via,la_field,417821,RETIRE,,,,1,3,0,2,
custitem_la_sku,la_identity,425914,RETIRE (identity),,,,10,3,0,5,LA identity; List/Record -> customrecord_zastro_lights_items (retire field before record type)
custitem_la_small_thumbnail,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_special_feature,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_spec_sheet,retire_resolved,214807,RETIRE (resolved),,,Premier Link Connector WFA [ACTIVE],4,3,0,2,custitem_spec_sheet_link survives; retire customworkflow59 + premier_link_connector_wfa with it
custitem_la_status_date,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_sub_brand,la_field,1,RETIRE,,,,0,3,0,0,
custitem_la_suffix,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_switch,la_field,4,RETIRE,,,,0,3,0,0,
custitem_la_thumbnail,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_title_20,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_title_24,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_top_to_outlet,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_umap,la_field,0,RETIRE,,,,0,3,0,0,
custitem_la_unique_id,la_identity,668783,RETIRE (identity),,,,5,3,0,4,"LA identity (668,783) - snapshot before inactivation"
custitem_la_unit_increment,la_field,7,RETIRE,,,,0,3,0,0,
custitem_la_unit_of_measure,la_field,13,RETIRE,,,,0,3,0,0,
custitem_la_upc,keep20,276929,RELABEL,UPC / GTIN,"GTIN (14-digit, keep leading zeros; zero-strip for compares)",,3,3,0,2,FARAPP connector mapping (barcode) - remap by hand
custitem_la_voltage,keep20,405270,RELABEL,Voltage,Extra-Voltage (strip units),,0,3,0,2,
custitem_la_weight_grams,la_field,49648,RETIRE,,,,0,3,0,2,
custitem_la_width,keep20,316004,RELABEL,Width,"Width  [backfill from la_width_diameter first: 45,816 rows]",,0,3,0,1,
custitem_la_width_diameter,retire_resolved,80885,RETIRE (resolved),,,,0,3,0,0,"superseded by gen-2 la_width; BACKFILL 45,816 rows into la_width first"
custitem_la_wire,la_field,195302,RETIRE,,,,0,3,0,2,
custitemcustitem_la_weight,la_field,0,RETIRE,,,,0,3,0,0,
custitem_laitem_do_not_update,la_adjacent,621245,RETIRE,,,,0,5,0,0,checkbox: 1 TRUE - effectively empty
custitem_lights_sku,la_identity,332743,RETIRE (identity),,,,2,3,0,0,"LA identity (332,743) - snapshot before inactivation"
custitem5,repurpose,0,REPURPOSE,IMAP,IMAP  [label already set; 0 populated],,0,3,0,0,
custitem6,protected,703805,KEEP AS-IS,Is Light Bulb,"never rename; custcol_premier_is_bulb sources from it (5,365 T)",object:custcol_premier_is_bulb.xml,3,3,0,0,"checkbox: 5,365 TRUE; SOURCED BY custcol_premier_is_bulb (Is Light Bulb)"
custitem7,repurpose,11676,REPURPOSE,XO Item ID,"ItemID (NOT XOItemID)  [overwrites 11,676 VendorContactId values]",,0,3,0,0,
custitem_atlas_closeout,atlas,705114,RETIRE,,,,0,3,0,0,checkbox: only 3 TRUE - effectively empty
custitem_atlas_department,atlas,0,RETIRE,,,,0,4,0,0,
custitem_atlas_item_image,atlas,3,RETIRE,,,,0,5,0,0,
custitem_atlas_season,atlas,33,RETIRE,,,,0,4,0,0,
custitem_atlas_style,repurpose,167984,REPURPOSE,XO Style,"Standard-Style  [bundle-owned: relabel via UI; 167,984 rows in Atlas Style list]",,23,4,0,0,
custitem_zastro_image_url,zastro,1,RETIRE (with pipeline),,,,1,3,0,0,
custitem_zastro_la_updated_at,zastro,439856,RETIRE (with pipeline),,,,0,3,0,1,"LA feed timestamp (439,856) - retires with pipeline"
custitem_zastro_special_order,zastro,705114,"KEEP - referenced by customworkflow35 (Set Item Defaults, ACTIVE) + 11 saved searches; 683,881 TRUE; writers retire with pipeline (new writer TBD)",,,workflow:customworkflow35,11,3,0,3,"checkbox: 683,881 TRUE"
custitem_zastro_warranty,zastro,0,RETIRE (with pipeline),,,,0,3,0,0,
custitem_spec_sheet_link,keeper_nonla,214265,KEEP + XO-SOURCE,Spec Sheet Hyperlink,file-N-FilePath where FileDescr ~ Spec,Premier Link Connector WFA [ACTIVE] | object:custcol_spec_sheet.xml,3,3,0,0,SOURCED BY custcol_spec_sheet (Spec Sheet)
custitem_webstore_link,dead_nonla,0,RETIRE CANDIDATE (confirm),,,,0,3,0,0,non-LA but 0 populated and no writers - retire candidate (Jesse confirm)
custitem_category,adjacent,5852,OUT OF SCOPE,,,,3,4,0,0,
custitem_no_of_bulbs,adjacent,135,OUT OF SCOPE,,,,0,3,0,0,
custitem_publish_item,adjacent,0,OUT OF SCOPE,,,,0,3,0,0,
custitem_pr_em_product,adjacent,1,OUT OF SCOPE,,,Approve Item Change Request [ACTIVE],0,3,0,0,
custitem_isonline,adjacent,129,OUT OF SCOPE,,,,1,4,0,0,
custitem_usr_item_category,adjacent,1,OUT OF SCOPE,,,,0,5,0,0,
custitemlastpostedtofarapp,farapp,,OUT OF SCOPE (FarApp-owned),,,,0,5,0,0,
customrecord_zastro_api_scheduler,zastro_rectype,,RETIRE (LA integration),,,,0,0,0,2,
customrecord_zastro_la_adhoc_queue,zastro_rectype,,RETIRE (LA integration),,,,0,0,0,0,
customrecord_zastro_la_data_dump,zastro_rectype,,RETIRE (LA integration),,,,4,0,0,8,
customrecord_zastro_la_processor_queue,zastro_rectype,,RETIRE (LA integration),,,,0,0,0,3,
customrecord_zastro_lights_file_config,zastro_rectype,,RETIRE (LA integration),,,,0,0,0,10,
customrecord_zastro_lights_items,zastro_rectype,,RETIRE (LA integration) - first retire custitem_la_sku + custcol_la_item_link + rewrite/retire pr_update_display MR,,,Update Display Name [ACTIVE] | object:custcol_la_item_link.xml | object:custitem_la_sku.xml | workflow:customworkflow_la_sku_to_item,35,1,0,13,"REFERENCED BY custitem_la_sku (select) + custcol_la_item_link (select, label ""LA Data Dump"")"
customrecord_zastro_lights_wishlist_cfg,zastro_rectype,,RETIRE (LA integration),,,,0,0,0,2,
customrecord_zastro_po_consolid,zastro_rectype,,"KEEP - load-bearing for PO-consolidation ops (14+ live scripts, customworkflow18)",,,Bucket Consolidated PO Items v2 [ACTIVE] | China Consolidated SL [ACTIVE] | Consolidate Items - MR [ACTIVE] | Consolidate Test [ACTIVE] | Generate PO (UE) [ACTIVE] | Merge Location - SL [ACTIVE] | Merge Location - UE [ACTIVE] | Set PO on Unconsolidated PO Record [INACTIVE] | Suitelet - Move to Hold [ACTIVE] | Sum Totals of Unconsolidated POs [ACTIVE] | WF - 2.0 Create PO - Consolidated [ACTIVE] | WF - Consolidate Items off SO v2 [ACTIVE] | object:custcol_illuminet_linked_po.xml | object:custcol_zastro_unconsolidated_no.xml | workflow:customworkflow18 | workflow:customworkflow24,44,1,0,0,
customrecord_zastro_unconsolidated_items,zastro_rectype,,KEEP - load-bearing for PO-consolidation ops (17+ live scripts),,,Bucket Consolidated PO Items v2 [ACTIVE] | China Consolidated SL [ACTIVE] | Consolidate Items - MR [ACTIVE] | Generate PO (UE) [ACTIVE] | Link PO Back to Sales Order [ACTIVE] | Mark Change to Item Quantity - Consol [INACTIVE] | Merge Location - SL [ACTIVE] | PL Email Daily Rec Report [ACTIVE] | PL Email Daily Rec Report(On Demand) [INACTIVE] | Print Item Labels - Consolidation [INACTIVE] | REC REPORT V2 [ACTIVE] | Receiving Report SL Call [ACTIVE] | Suitelet - Move to Hold [ACTIVE] | Sum Totals of Unconsolidated POs [ACTIVE] | Update Quantity on Consol [INACTIVE] | WF - 2.0 Create PO - Consolidated [ACTIVE] | WF - Consolidate Items off SO v2 [ACTIVE],30,1,0,0,
customrecord_la_csv_row,la_rectype,,RETIRE (LA integration),,,,4,0,0,2,
customrecord_manufacturer_mapping,la_rectype,,RETIRE (LA integration - only pipeline references),,,,4,1,0,5,
customlist_zastro_lights_prod_action,zastro_list,,RETIRE (LA integration),,,,0,0,0,0,
customlist_zastro_lights_p_status,zastro_list,,RETIRE (LA integration),,,,0,0,0,0,
customlist_zastro_lights_statuses,zastro_list,,RETIRE (LA integration),,,,0,0,0,0,
customlist_zas_tracking_carrier,zastro_list,,"KEEP - used by inbound-ESD flow (ill_vendor_update_esd, pre_inbd_esd_sl) + custcol_pr_vendor_provided_carrier",,,Inbound Ship | Update ESD and Tracking S [ACTIVE] | Update PO ESDs from Vendor [ACTIVE] | object:custcol_pr_vendor_provided_carrier.xml,2,0,0,0,
customworkflow59,workflow,,RETIRE (locked) - with premier_link_connector_wfa,,,,0,0,0,0,
customworkflow_la_sku_to_item,workflow,,"RETIRE (LA integration, status TESTING)",,,,0,0,0,0,
customworkflow31,workflow,,KEEP (Internal ID as Display Name) - audited,,,,0,0,0,0,
customworkflow42,workflow,,KEEP (Preferred Vendor Mandatory) - audited,,,,0,0,0,0,
customworkflow35,workflow,,KEEP (Set Item Defaults) - audited; references custitem_zastro_special_order,,,,0,0,0,0,
custcol_pr_prod_url,column,,KEEP (sourcing column),,,Create Sales Order - SL [ACTIVE] | object:custcol_image_display.xml,0,0,1,0,
custcol_webstore_link,column,,KEEP (sourcing column),,,,0,0,0,0,
custcol_spec_sheet,column,,KEEP (sourcing column),,,,0,0,0,0,
custcol_premier_is_bulb,column,,KEEP (sourcing column),,,Create Sales Order - SL [ACTIVE] | pr_client_bulb [INACTIVE],0,0,0,0,
custcolcustcol_zastro_vendor,zastro_column,,KEEP (live ops),,,Bucket Consolidated PO Items v2 [ACTIVE] | Connect SO and Special Order [ACTIVE] | Consolidate Items - MR [ACTIVE] | Consolidated | Auto Create CR off PO [ACTIVE] | Create Sales Order - SL [ACTIVE] | Generate SO Labels - SL [INACTIVE] | Generate Special Order Data Records MR [ACTIVE] | In Arrear PO Creator [ACTIVE] | Lock Consolidated in Client of PREMCOL [ACTIVE] | Utility | Mark All Consolidated SO [ACTIVE] | WF - Consolidate Items off SO v2 [ACTIVE],33,0,0,0,
custcol_zastro_purchase_price,zastro_column,,KEEP (live ops),,,Bucket Consolidated PO Items v2 [ACTIVE] | Consolidate Items - MR [ACTIVE] | Create Sales Order - SL [ACTIVE] | WF - Consolidate Items off SO v2 [ACTIVE],0,0,0,0,
